,Rules
45,"IF DiabetesPedigreeFunction = <0.16, 1.18) AND Glucose = (-inf, 99.5) AND SkinThickness = (-inf, 30.5) AND Age = (-inf, 42.5) AND BMI = (-inf, 37.15) THEN label = {0}"
46,"IF DiabetesPedigreeFunction = (-inf, 1.18) AND Glucose = (-inf, 99.5) AND Age = (-inf, 42.5) AND BMI = (-inf, 37.15) THEN label = {0}"
47,"IF DiabetesPedigreeFunction = <0.16, 1.18) AND BloodPressure = (-inf, 83.5) AND Glucose = (-inf, 99.5) AND SkinThickness = (-inf, 30.5) AND Age = (-inf, 42.5) THEN label = {0}"
48,"IF Glucose = (-inf, 99.5) AND SkinThickness = (-inf, 30.5) AND Pregnancies = <0.5, inf) AND Age = (-inf, 30.5) THEN label = {0}"
49,"IF DiabetesPedigreeFunction = <0.16, 1.18) AND Glucose = (-inf, 99.5) AND SkinThickness = (-inf, 30.5) AND Insulin = (-inf, 170.0) AND BMI = (-inf, 35.55) THEN label = {0}"
50,"IF DiabetesPedigreeFunction = (-inf, 0.8) AND BloodPressure = <51.0, inf) AND Glucose = (-inf, 99.5) AND Insulin = (-inf, 170.0) AND Pregnancies = (-inf, 11.5) AND BMI = (-inf, 37.35) THEN label = {0}"
51,"IF DiabetesPedigreeFunction = (-inf, 0.8) AND BloodPressure = <51.0, 83.5) AND Glucose = (-inf, 99.5) AND SkinThickness = (-inf, 41.5) AND Insulin = (-inf, 150.0) AND Age = (-inf, 44.0) THEN label = {0}"
52,"IF DiabetesPedigreeFunction = (-inf, 0.8) AND BloodPressure = <51.0, inf) AND Glucose = (-inf, 99.5) AND Pregnancies = (-inf, 11.5) AND Age = (-inf, 51.0) THEN label = {0}"
53,"IF SkinThickness = <14.0, inf) AND BMI = (-inf, 23.25) THEN label = {0}"
54,"IF Glucose = (-inf, 101.5) AND BMI = (-inf, 27.55) THEN label = {0}"
55,"IF DiabetesPedigreeFunction = (-inf, 0.66) AND BloodPressure = <51.0, 83.5) AND Glucose = (-inf, 101.5) AND SkinThickness = (-inf, 41.5) AND Age = (-inf, 42.5) THEN label = {0}"
56,"IF DiabetesPedigreeFunction = (-inf, 1.12) AND Glucose = (-inf, 101.5) AND Insulin = (-inf, 87.5) AND Age = (-inf, 42.5) THEN label = {0}"
57,"IF DiabetesPedigreeFunction = (-inf, 0.85) AND Glucose = (-inf, 103.5) AND BMI = (-inf, 29.6) THEN label = {0}"
58,"IF DiabetesPedigreeFunction = (-inf, 0.82) AND Glucose = (-inf, 103.5) AND Insulin = (-inf, 156.0) AND Age = (-inf, 30.5) AND BMI = (-inf, 45.05) THEN label = {0}"
59,"IF DiabetesPedigreeFunction = <0.18, inf) AND Glucose = <94.0, 103.5) AND SkinThickness = <27.5, inf) AND Pregnancies = (-inf, 6.5) THEN label = {0}"
60,"IF DiabetesPedigreeFunction = (-inf, 0.66) AND BloodPressure = (-inf, 84.5) AND Glucose = (-inf, 103.5) AND Pregnancies = (-inf, 13.5) AND BMI = (-inf, 50.85) THEN label = {0}"
61,"IF Glucose = (-inf, 132.5) AND BMI = (-inf, 25.45) THEN label = {0}"
62,"IF Glucose = (-inf, 153.0) AND Age = (-inf, 59.0) AND BMI = (-inf, 25.45) THEN label = {0}"
63,"IF Glucose = (-inf, 132.5) AND BMI = (-inf, 26.35) THEN label = {0}"
64,"IF Glucose = (-inf, 153.5) AND BMI = (-inf, 26.35) THEN label = {0}"
65,"IF Glucose = (-inf, 106.5) AND SkinThickness = (-inf, 36.5) AND Age = (-inf, 25.5) AND BMI = (-inf, 37.3) THEN label = {0}"
66,"IF DiabetesPedigreeFunction = (-inf, 0.67) AND BloodPressure = <51.0, 83.5) AND Glucose = (-inf, 106.5) AND SkinThickness = (-inf, 41.5) AND Age = (-inf, 28.5) THEN label = {0}"
67,"IF DiabetesPedigreeFunction = (-inf, 0.66) AND BloodPressure = <51.0, inf) AND Glucose = (-inf, 106.5) AND Insulin = (-inf, 172.5) AND Age = (-inf, 51.0) AND BMI = (-inf, 37.35) THEN label = {0}"
68,"IF Glucose = (-inf, 194.5) AND Pregnancies = (-inf, 8.5) AND BMI = (-inf, 26.45) THEN label = {0}"
69,"IF DiabetesPedigreeFunction = (-inf, 0.66) AND BloodPressure = (-inf, 84.5) AND Glucose = (-inf, 107.5) AND SkinThickness = (-inf, 41.5) AND Insulin = (-inf, 172.5) THEN label = {0}"
70,"IF DiabetesPedigreeFunction = <0.25, inf) AND BloodPressure = <63.0, inf) AND Glucose = <85.5, 107.5) AND SkinThickness = <20.5, 36.5) AND Insulin = (-inf, 159.0) AND Pregnancies = (-inf, 6.5) AND Age = (-inf, 40.5) THEN label = {0}"
71,"IF DiabetesPedigreeFunction = (-inf, 0.67) AND BloodPressure = <51.0, inf) AND Glucose = (-inf, 108.5) AND Age = (-inf, 41.5) AND Pregnancies = (-inf, 5.5) AND BMI = (-inf, 37.35) THEN label = {0}"
72,"IF BloodPressure = (-inf, 84.0) AND DiabetesPedigreeFunction = <0.18, inf) AND Glucose = (-inf, 166.5) AND SkinThickness = (-inf, 23.5) AND Insulin = (-inf, 95.5) AND Age = <22.5, inf) AND BMI = <24.0, 26.95) THEN label = {0}"
73,"IF DiabetesPedigreeFunction = (-inf, 0.85) AND Glucose = (-inf, 110.5) AND SkinThickness = (-inf, 29.5) AND Age = (-inf, 30.5) AND Pregnancies = (-inf, 6.5) THEN label = {0}"
74,"IF DiabetesPedigreeFunction = (-inf, 0.67) AND BloodPressure = <51.0, inf) AND Glucose = (-inf, 111.5) AND SkinThickness = (-inf, 40.5) AND Age = (-inf, 30.5) AND Pregnancies = (-inf, 6.5) AND BMI = (-inf, 45.05) THEN label = {0}"
75,"IF DiabetesPedigreeFunction = (-inf, 0.85) AND Glucose = <107.5, 111.5) AND SkinThickness = (-inf, 26.5) AND Pregnancies = (-inf, 9.5) AND BMI = <27.15, inf) THEN label = {0}"
76,"IF DiabetesPedigreeFunction = (-inf, 0.67) AND Glucose = (-inf, 112.5) AND Age = (-inf, 30.5) AND Pregnancies = (-inf, 6.5) AND BMI = (-inf, 45.05) THEN label = {0}"
77,"IF BloodPressure = <64.5, inf) AND Glucose = <109.0, 151.5) AND SkinThickness = <20.5, inf) AND Age = (-inf, 59.5) AND BMI = (-inf, 27.45) THEN label = {0}"
78,"IF Glucose = (-inf, 114.5) AND SkinThickness = (-inf, 29.5) AND Age = (-inf, 30.5) AND Pregnancies = (-inf, 6.5) AND BMI = (-inf, 32.8) THEN label = {0}"
79,"IF Glucose = (-inf, 138.0) AND Pregnancies = (-inf, 5.5) AND Age = (-inf, 34.5) AND BMI = (-inf, 27.85) THEN label = {0}"
80,"IF DiabetesPedigreeFunction = <0.14, 0.56) AND Insulin = (-inf, 95.5) AND Pregnancies = <2.5, inf) AND Age = <29.5, inf) AND BMI = <24.9, 27.85) THEN label = {0}"
81,"IF DiabetesPedigreeFunction = (-inf, 0.67) AND Glucose = (-inf, 116.5) AND SkinThickness = (-inf, 40.5) AND Age = (-inf, 30.5) AND Pregnancies = (-inf, 6.5) AND BMI = (-inf, 45.4) THEN label = {0}"
82,"IF DiabetesPedigreeFunction = (-inf, 0.5) AND BloodPressure = <51.0, 83.5) AND Glucose = (-inf, 117.5) AND Age = (-inf, 28.5) THEN label = {0}"
83,"IF Glucose = (-inf, 117.5) AND Insulin = (-inf, 142.5) AND Pregnancies = (-inf, 6.5) AND Age = (-inf, 45.5) AND BMI = (-inf, 39.45) THEN label = {0}"
84,"IF Glucose = (-inf, 137.5) AND SkinThickness = (-inf, 33.5) AND Age = (-inf, 21.5) AND BMI = (-inf, 42.8) THEN label = {0}"
85,"IF Glucose = (-inf, 119.5) AND Age = (-inf, 27.5) AND BMI = (-inf, 45.4) THEN label = {0}"
86,"IF DiabetesPedigreeFunction = <0.28, 0.74) AND SkinThickness = <17.5, inf) AND Insulin = (-inf, 142.0) AND Pregnancies = (-inf, 5.5) AND BMI = (-inf, 28.85) THEN label = {0}"
87,"IF BloodPressure = (-inf, 81.0) AND Glucose = (-inf, 120.5) AND Pregnancies = (-inf, 4.5) AND Age = (-inf, 41.5) AND BMI = (-inf, 50.65) THEN label = {0}"
88,"IF DiabetesPedigreeFunction = (-inf, 0.67) AND Glucose = (-inf, 123.5) AND SkinThickness = (-inf, 40.5) AND Age = (-inf, 28.5) AND Pregnancies = (-inf, 7.5) AND BMI = (-inf, 45.4) THEN label = {0}"
89,"IF DiabetesPedigreeFunction = (-inf, 1.28) AND Glucose = (-inf, 123.5) AND SkinThickness = (-inf, 43.5) AND Age = (-inf, 29.5) AND Pregnancies = (-inf, 6.5) AND BMI = (-inf, 45.4) THEN label = {0}"
90,"IF DiabetesPedigreeFunction = (-inf, 0.9) AND BloodPressure = <67.0, inf) AND Glucose = (-inf, 123.5) AND Age = (-inf, 34.5) AND Pregnancies = <2.5, inf) AND BMI = <31.75, inf) THEN label = {0}"
91,"IF DiabetesPedigreeFunction = <0.14, 0.54) AND BloodPressure = <54.5, inf) AND Age = (-inf, 24.5) AND Pregnancies = (-inf, 7.5) AND BMI = (-inf, 32.85) THEN label = {0}"
92,"IF Glucose = (-inf, 130.5) AND Age = (-inf, 24.5) AND Pregnancies = (-inf, 7.5) AND BMI = (-inf, 40.25) THEN label = {0}"
93,"IF BloodPressure = <61.0, inf) AND Glucose = <135.5, 149.5) AND Age = (-inf, 24.5) AND Pregnancies = (-inf, 3.5) AND BMI = (-inf, 42.5) THEN label = {0}"
94,"IF SkinThickness = <24.5, inf) AND Pregnancies = <3.5, 7.5) AND BMI = <28.1, 29.65) THEN label = {0}"
95,"IF DiabetesPedigreeFunction = (-inf, 0.85) AND Glucose = <122.5, 127.5) AND Insulin = <31.25, inf) AND Pregnancies = (-inf, 6.5) THEN label = {0}"
96,"IF DiabetesPedigreeFunction = <0.26, 0.48) AND BloodPressure = <64.0, 89.0) AND Glucose = <117.5, 126.5) AND Age = (-inf, 51.5) AND BMI = <29.15, inf) THEN label = {0}"
97,"IF SkinThickness = <12.5, inf) AND Insulin = (-inf, 78.5) AND Pregnancies = (-inf, 7.5) AND BMI = <29.65, 29.95) THEN label = {0}"
98,"IF DiabetesPedigreeFunction = <0.14, inf) AND BloodPressure = <69.0, inf) AND Glucose = (-inf, 168.0) AND SkinThickness = <25.5, inf) AND Age = <21.5, 26.5) AND Pregnancies = (-inf, 2.5) AND BMI = (-inf, 48.75) THEN label = {0}"
99,"IF Glucose = <126.5, 129.5) AND SkinThickness = (-inf, 28.5) AND Insulin = (-inf, 142.5) THEN label = {0}"
100,"IF DiabetesPedigreeFunction = (-inf, 0.75) AND BloodPressure = <57.0, 84.5) AND Glucose = (-inf, 154.5) AND SkinThickness = (-inf, 40.5) AND Age = <23.5, 28.5) AND BMI = <32.75, 41.8) THEN label = {0}"
101,"IF DiabetesPedigreeFunction = <0.18, 0.71) AND BloodPressure = <81.0, inf) AND Glucose = (-inf, 137.5) AND Pregnancies = <1.5, 7.5) AND BMI = (-inf, 40.35) THEN label = {0}"
102,"IF DiabetesPedigreeFunction = <0.13, 0.64) AND BloodPressure = <73.0, inf) AND Glucose = (-inf, 165.5) AND Insulin = <36.5, inf) AND Age = (-inf, 30.5) AND BMI = <31.8, 52.6) THEN label = {0}"
103,"IF BloodPressure = <59.0, 93.0) AND DiabetesPedigreeFunction = <0.14, 0.48) AND Glucose = <135.0, 144.5) AND SkinThickness = (-inf, 33.5) AND Insulin = (-inf, 240.5) AND Pregnancies = <0.5, 12.5) THEN label = {0}"
104,"IF BloodPressure = (-inf, 91.0) AND DiabetesPedigreeFunction = <0.16, inf) AND Glucose = <136.5, 154.5) AND SkinThickness = (-inf, 42.5) AND Age = <28.5, 45.5) AND BMI = <30.1, 40.8) THEN label = {0}"
105,"IF DiabetesPedigreeFunction = <0.2, 0.66) AND BloodPressure = <63.0, 91.0) AND Glucose = (-inf, 192.5) AND SkinThickness = <14.5, inf) AND Insulin = (-inf, 169.0) AND Pregnancies = <0.5, 6.5) AND Age = (-inf, 69.5) AND BMI = <29.5, 34.15) THEN label = {0}"
106,"IF BloodPressure = (-inf, 97.0) AND Glucose = (-inf, 197.5) AND SkinThickness = (-inf, 44.5) AND Insulin = (-inf, 795.0) AND Pregnancies = (-inf, 7.5) AND Age = (-inf, 65.5) AND BMI = (-inf, 48.1) THEN label = {0}"
